id_estudiante,edad,sexo,semestre,estrato,trabaja,horas_trabajo_semana,beca,acceso_internet,promedio_acumulado,asistencia,horas_estudio_semana,talleres_entregados,proyectos_entregados,horas_programacion,participacion_clase,horas_sueno,uso_redes_sociales,nivel_estres,uso_herramientas_IA,aprueba_asignatura
45,30,Masculino,6,4,Sí,48,No,Sí,3.7,82.7,11.5,72.4,80.2,8.2,10.0,6.2,5.2,6,2.7,Sí
46,18,Masculino,6,2,No,0,No,Sí,3.53,72.5,10.3,80.0,87.7,9.1,7.4,4.6,4.2,4,3.2,Sí
47,29,Masculino,2,2,Sí,36,No,Sí,3.65,90.4,17.8,91.4,100.0,7.2,10.0,8.3,3.9,5,4.8,Sí
48,32,Femenino,10,2,Sí,36,Sí,Sí,2.83,69.8,6.0,78.4,73.5,4.6,6.3,5.7,2.3,6,3.9,No
49,19,Femenino,3,3,No,0,No,Sí,3.83,87.9,5.1,96.4,88.8,2.8,10.0,7.6,3.2,1,5.6,Sí
50,33,Masculino,6,3,Sí,14,Sí,Sí,3.0,51.7,2.8,32.2,32.0,1.5,2.7,5.4,3.8,3,4.2,No
51,23,Masculino,8,4,Sí,16,No,Sí,2.8,58.6,5.2,67.0,72.9,3.2,6.8,6.6,3.3,4,5.6,No
52,19,Femenino,1,1,No,0,Sí,Sí,3.86,89.1,17.3,97.9,95.3,5.5,9.4,7.2,6.3,6,4.4,Sí
53,17,Masculino,1,1,Sí,38,Sí,Sí,3.24,62.4,21.9,52.3,46.8,10.7,6.5,5.8,2.8,5,4.9,No
54,21,Femenino,2,3,No,0,Sí,Sí,4.06,72.5,22.8,60.0,74.3,9.1,4.7,7.3,3.1,1,3.0,Sí
55,25,Masculino,6,4,No,0,No,Sí,3.43,88.4,9.9,94.6,86.2,3.8,8.3,6.4,10.0,2,7.9,Sí
56,19,Masculino,9,2,No,0,No,Sí,3.7,86.3,14.3,87.2,100.0,7.2,10.0,6.3,4.6,2,1.7,Sí
57,33,Femenino,4,4,Sí,21,No,Sí,5.0,98.7,16.2,93.6,100.0,12.7,8.9,8.6,1.9,2,10.0,Sí
58,27,Masculino,3,2,No,0,No,Sí,4.53,86.6,21.1,98.1,100.0,8.9,7.0,7.2,3.9,1,5.9,Sí
59,17,Femenino,8,5,No,0,No,Sí,3.18,53.4,15.4,55.9,77.7,9.5,4.1,7.4,4.5,6,1.9,No
60,25,Femenino,10,5,No,0,No,Sí,3.91,75.0,17.9,58.3,62.0,13.4,9.0,7.7,2.0,5,5.2,Sí
61,19,Masculino,9,2,Sí,12,No,Sí,3.99,59.7,22.7,51.6,72.4,10.1,6.6,7.5,2.6,4,5.4,No
62,29,Femenino,5,2,No,0,Sí,Sí,4.23,89.2,17.5,97.6,100.0,14.9,10.0,7.2,1.7,4,8.0,Sí
63,31,Femenino,9,3,No,0,No,Sí,3.54,76.7,5.0,77.0,80.9,4.1,8.6,8.3,3.5,5,2.3,Sí
64,30,Masculino,2,2,No,0,No,Sí,2.91,71.5,1.0,65.7,67.7,0.5,6.2,5.7,1.3,3,2.3,No
65,23,Femenino,3,4,No,0,No,Sí,3.86,70.4,12.4,74.0,69.6,11.1,9.3,7.0,2.0,2,5.7,Sí
66,29,Masculino,7,4,No,0,No,Sí,3.08,54.0,12.9,49.1,56.7,9.1,4.7,6.4,1.5,5,5.4,No
67,23,Femenino,7,4,No,0,Sí,Sí,3.63,82.5,12.0,72.5,84.0,5.6,7.3,7.0,3.5,2,7.9,Sí
68,31,Femenino,6,4,Sí,30,Sí,Sí,3.86,81.7,17.5,89.8,75.9,12.4,8.6,6.0,2.5,5,3.0,Sí
69,28,Masculino,6,3,No,0,No,No,3.77,95.5,15.4,100.0,100.0,10.8,10.0,4.9,3.7,5,2.8,Sí
70,33,Femenino,2,2,Sí,18,Sí,Sí,4.21,83.0,20.4,86.9,100.0,13.6,9.4,7.8,1.2,6,8.7,Sí
71,30,Femenino,10,4,Sí,22,Sí,Sí,3.64,78.7,9.3,66.5,60.6,6.8,7.5,9.7,2.0,3,4.9,No
72,28,Femenino,6,3,Sí,37,Sí,Sí,4.33,81.7,26.2,96.5,100.0,12.1,9.9,8.1,4.5,5,3.5,Sí
73,24,Femenino,4,4,No,0,No,Sí,3.27,79.0,5.1,93.5,93.1,4.5,7.2,7.8,1.7,1,6.4,Sí
74,30,Femenino,3,2,Sí,26,Sí,Sí,4.0,89.7,9.7,99.9,100.0,7.9,7.7,7.1,5.0,4,0.9,Sí
75,28,Masculino,2,2,No,0,No,Sí,3.22,58.8,10.3,61.2,59.8,7.7,3.6,6.6,2.8,1,5.8,No
76,16,Femenino,1,6,No,0,No,Sí,4.01,88.3,15.1,89.0,94.2,4.8,8.6,6.7,2.0,3,3.7,Sí
77,22,Masculino,5,2,Sí,10,No,Sí,3.69,97.9,6.5,100.0,89.3,4.3,10.0,6.7,2.0,4,4.0,Sí
78,24,Masculino,2,6,Sí,27,Sí,Sí,3.32,76.0,3.2,66.8,88.7,2.3,8.5,6.0,3.3,2,7.6,Sí
79,16,Femenino,2,6,Sí,18,No,Sí,2.65,66.2,13.3,61.9,51.9,10.8,7.1,4.8,9.0,3,5.9,No
80,27,Masculino,7,4,No,0,No,Sí,3.94,95.7,6.8,91.0,96.5,5.9,9.1,7.0,10.0,4,2.7,Sí
81,23,Masculino,8,4,No,0,No,Sí,3.51,80.1,11.5,84.9,78.2,9.8,9.6,6.5,1.5,5,5.1,Sí
82,26,Masculino,10,3,No,0,No,Sí,3.48,67.3,6.1,69.3,67.8,3.3,6.9,8.2,4.2,7,5.2,No
83,34,Masculino,8,5,Sí,42,No,Sí,2.91,78.0,7.2,70.4,75.0,6.0,8.3,7.7,6.9,10,4.5,No
84,32,Femenino,4,2,No,0,Sí,Sí,2.42,48.8,8.8,36.1,37.1,2.6,3.5,4.4,1.6,8,3.1,No
85,23,Masculino,1,3,No,0,No,Sí,4.02,82.6,18.3,85.4,86.7,9.4,6.1,8.9,2.2,6,5.5,Sí
86,18,Femenino,7,3,No,0,No,Sí,2.95,70.6,4.1,62.1,58.4,1.5,8.2,6.2,3.5,4,6.4,No
87,18,Masculino,1,3,No,0,Sí,Sí,3.64,95.7,5.1,85.6,78.7,4.2,10.0,6.4,3.1,7,5.9,Sí
88,16,Femenino,4,3,Sí,29,No,Sí,3.76,73.4,18.0,90.2,96.8,15.5,7.9,4.8,1.5,3,3.6,Sí
89,20,Masculino,8,3,Sí,20,No,Sí,3.11,52.2,5.8,70.7,62.1,2.6,6.3,7.1,4.4,2,4.7,No
90,25,Masculino,2,3,Sí,21,Sí,Sí,3.67,88.0,12.9,84.4,77.9,6.7,9.9,7.3,3.7,4,0.6,Sí
91,22,Femenino,6,4,Sí,27,Sí,Sí,4.4,89.4,18.7,74.8,68.4,16.6,9.1,8.9,4.8,4,8.2,Sí
92,24,Femenino,6,2,Sí,39,Sí,Sí,3.23,73.9,9.8,83.6,80.3,6.3,5.6,7.8,3.9,8,3.8,No
93,22,Masculino,9,5,Sí,46,No,Sí,4.02,92.4,13.4,95.1,80.9,8.0,10.0,6.2,3.9,8,4.0,Sí
94,24,Masculino,5,4,Sí,29,Sí,Sí,2.66,44.7,18.9,50.9,36.8,11.3,6.4,4.7,3.0,6,2.4,No
95,23,Masculino,10,4,No,0,Sí,Sí,3.35,83.9,7.8,78.8,84.3,5.6,9.1,6.1,5.5,2,6.7,Sí
96,27,Masculino,4,3,No,0,Sí,Sí,4.47,96.3,16.9,88.0,93.5,14.7,9.4,8.1,1.5,4,7.1,Sí
97,17,Femenino,5,4,No,0,No,Sí,3.35,76.3,14.5,74.4,77.5,7.5,8.2,6.3,1.7,6,3.9,Sí
98,16,Masculino,10,1,No,0,No,Sí,3.67,72.4,18.4,73.8,87.6,7.4,7.3,5.5,5.2,2,2.7,Sí
99,31,Masculino,5,4,Sí,20,No,Sí,4.51,77.7,27.2,71.9,63.1,11.2,9.4,7.0,2.6,3,5.0,Sí
100,20,Masculino,8,1,No,0,Sí,Sí,3.73,70.3,24.1,80.7,63.5,7.5,7.4,6.4,1.9,2,4.3,Sí
101,18,Masculino,10,5,Sí,34,No,Sí,3.11,75.9,6.3,62.0,69.9,4.0,8.6,6.3,4.6,3,6.5,No
102,27,Masculino,8,6,No,0,No,Sí,4.39,94.1,17.2,97.4,79.9,14.8,10.0,5.9,4.2,1,4.7,Sí
103,23,Masculino,2,2,Sí,41,No,Sí,4.13,98.2,11.8,99.2,97.8,8.6,10.0,6.9,1.1,5,4.6,Sí
104,18,Masculino,7,2,No,0,No,Sí,3.15,54.5,6.5,64.3,67.1,5.8,5.6,8.0,4.2,3,6.3,No
105,16,Masculino,8,4,Sí,10,No,Sí,3.34,86.5,6.1,78.8,99.4,5.2,7.0,7.4,2.2,9,1.8,Sí
106,18,Femenino,6,2,Sí,26,No,Sí,3.1,92.2,2.0,97.9,92.4,1.2,9.9,4.5,3.8,3,4.4,Sí
107,20,Masculino,5,5,No,0,Sí,Sí,3.53,56.1,17.2,60.0,55.2,10.2,6.8,8.7,2.9,8,5.4,No
108,30,Femenino,9,2,Sí,17,No,Sí,3.84,77.7,12.7,79.7,86.3,8.6,6.0,7.7,4.1,6,4.1,Sí
109,29,Masculino,3,2,No,0,No,Sí,3.88,93.8,8.5,86.7,92.7,3.1,10.0,7.2,3.0,3,5.6,Sí
110,18,Femenino,10,6,No,0,No,Sí,3.68,96.7,6.8,90.5,87.1,4.5,9.8,7.3,1.6,5,5.4,Sí
111,16,Femenino,4,4,No,0,No,Sí,4.5,94.4,27.1,92.1,93.9,15.7,6.8,7.5,1.3,5,6.8,Sí
112,20,Femenino,9,4,No,0,No,Sí,3.9,90.2,14.1,86.2,78.8,9.6,9.5,7.3,1.5,2,4.5,Sí
113,29,Femenino,6,3,No,0,Sí,Sí,3.4,57.8,20.2,67.8,72.3,12.9,7.6,5.6,1.7,5,0.9,No
114,22,Masculino,8,4,Sí,18,Sí,Sí,4.04,70.9,8.4,72.0,56.1,4.1,7.2,7.4,3.7,3,1.9,No
115,24,Masculino,7,3,No,0,No,Sí,3.84,82.2,1.0,88.6,100.0,0.7,5.9,7.0,4.9,5,5.9,Sí
116,30,Masculino,2,3,No,0,No,No,3.72,64.6,17.3,53.0,60.2,9.0,7.0,7.3,2.6,5,5.4,No
117,30,Masculino,3,4,No,0,Sí,Sí,2.97,70.1,9.6,55.4,44.4,4.0,8.5,6.0,1.9,3,4.5,No
118,25,Masculino,1,3,Sí,11,Sí,Sí,3.44,60.0,3.4,58.6,55.9,2.4,5.1,8.1,3.1,4,4.7,No
119,28,Masculino,9,3,No,0,No,Sí,3.65,91.0,2.5,80.8,70.2,1.2,8.9,6.1,1.1,5,3.7,Sí
120,34,Femenino,7,2,No,0,No,Sí,4.72,96.1,15.0,96.4,88.2,12.5,9.3,6.7,4.1,4,3.7,Sí
121,22,Masculino,1,4,No,0,No,Sí,3.67,90.9,12.0,84.1,86.2,5.0,9.3,6.2,2.9,7,3.9,Sí
122,32,Femenino,3,2,Sí,34,No,Sí,3.38,85.9,14.0,88.3,100.0,9.3,8.2,5.6,3.1,9,4.4,Sí
123,35,Femenino,4,4,Sí,25,No,Sí,3.81,93.4,8.8,87.2,86.2,5.6,10.0,7.7,2.3,2,5.2,Sí
124,19,Femenino,4,2,Sí,24,No,Sí,4.37,91.9,19.5,96.4,77.5,8.2,10.0,6.2,2.2,2,4.8,Sí
125,20,Masculino,5,3,No,0,No,Sí,4.09,99.7,11.8,92.6,86.5,6.6,9.3,7.0,1.3,4,4.3,Sí
126,22,Masculino,3,4,No,0,No,Sí,3.53,70.7,21.6,55.8,50.3,15.3,8.8,5.1,4.6,3,6.4,Sí
127,28,Masculino,3,2,No,0,No,Sí,3.23,87.2,5.5,94.0,94.9,2.7,6.8,4.6,1.6,3,6.7,Sí
128,30,Masculino,1,1,Sí,38,No,Sí,4.53,92.0,11.9,85.8,84.4,4.4,8.3,8.9,2.1,10,7.7,Sí
129,26,Femenino,7,2,Sí,33,No,Sí,3.47,60.4,11.2,71.4,49.4,7.5,6.9,8.7,1.9,6,4.6,No
130,19,Masculino,10,3,No,0,No,Sí,2.83,51.5,6.4,46.4,37.1,2.8,5.3,6.1,4.6,7,4.0,No
131,28,Femenino,1,4,No,0,Sí,Sí,3.48,44.1,13.9,37.5,26.4,9.9,4.7,7.3,2.2,1,4.9,No
132,22,Masculino,2,1,No,0,Sí,Sí,2.85,91.1,3.4,88.9,97.9,2.7,9.7,6.3,4.9,4,3.9,No
133,34,Femenino,4,4,Sí,43,Sí,Sí,4.16,82.7,8.4,78.2,75.4,3.1,7.8,7.6,4.0,5,5.0,Sí
134,17,Femenino,4,3,No,0,Sí,Sí,3.34,88.6,12.8,89.6,69.6,7.2,10.0,5.5,1.9,2,5.8,Sí
135,25,Masculino,5,3,Sí,36,Sí,Sí,3.05,86.7,5.4,89.9,81.2,3.0,9.6,5.4,2.9,6,5.2,Sí
136,28,Masculino,2,5,No,0,No,Sí,3.74,94.2,10.5,98.7,100.0,7.1,9.4,6.8,1.3,7,4.7,Sí
137,21,Masculino,4,3,Sí,44,No,Sí,3.87,85.6,19.1,84.9,78.9,9.5,9.8,7.3,3.7,4,6.3,Sí
138,27,Masculino,1,3,No,0,No,No,3.49,77.4,10.9,65.4,58.6,6.0,8.4,6.0,2.2,3,8.4,No
139,27,Masculino,2,1,Sí,17,Sí,No,3.06,68.3,10.6,82.1,80.4,3.2,6.6,5.2,1.8,3,3.6,Sí
140,35,Masculino,1,2,No,0,No,Sí,3.91,50.6,15.5,47.6,49.9,5.8,4.8,8.3,2.6,2,5.7,No
141,26,Masculino,10,2,No,0,No,Sí,3.35,73.3,4.5,69.9,68.5,2.9,6.0,6.2,2.4,5,4.6,No
142,22,Masculino,10,1,No,0,No,Sí,3.36,90.0,3.1,89.3,99.6,1.3,8.4,6.3,3.5,2,3.3,Sí
143,16,Masculino,4,3,Sí,23,No,Sí,3.73,95.7,14.7,93.6,92.2,5.7,9.4,8.3,7.8,6,3.6,Sí
144,16,Femenino,4,3,Sí,38,Sí,Sí,3.79,83.2,14.8,69.2,76.0,7.3,8.5,9.5,5.8,8,4.2,No
145,35,Masculino,7,3,Sí,10,Sí,Sí,3.83,92.5,11.1,97.1,99.0,4.4,8.2,7.2,1.7,2,8.1,Sí
146,28,Femenino,10,2,No,0,No,Sí,4.3,99.3,28.1,92.7,79.8,9.4,10.0,7.9,6.5,2,6.9,Sí
147,24,Masculino,9,2,Sí,41,Sí,Sí,3.75,95.0,3.7,92.4,100.0,1.8,8.9,5.4,3.1,2,3.2,Sí
148,18,Masculino,9,4,No,0,No,Sí,3.28,67.2,4.7,81.3,92.9,1.9,6.0,7.7,0.8,5,6.1,Sí
149,22,Femenino,5,6,No,0,No,Sí,4.03,93.5,7.1,100.0,94.3,5.5,10.0,7.8,2.7,4,3.1,Sí
150,21,Masculino,10,1,No,0,Sí,Sí,3.66,69.3,20.4,82.2,81.1,6.9,7.2,5.7,1.4,4,3.7,Sí
151,23,Masculino,1,5,Sí,48,Sí,Sí,4.08,90.3,15.6,84.9,91.0,11.7,9.0,6.2,2.4,10,7.6,Sí
152,24,Masculino,1,3,No,0,No,Sí,4.66,86.8,30.8,92.7,94.5,16.3,9.4,8.3,7.8,4,9.0,Sí
153,20,Masculino,6,3,Sí,41,No,Sí,3.29,62.1,5.7,65.3,66.4,4.0,4.8,6.5,1.6,3,1.2,Sí
154,16,Masculino,2,3,No,0,No,No,3.88,40.0,9.9,39.6,44.6,3.3,2.6,8.5,1.5,1,5.1,No
155,34,Masculino,8,1,No,0,Sí,Sí,3.95,86.1,17.5,80.1,83.6,14.9,8.2,6.8,2.9,2,5.8,Sí
156,25,Femenino,9,2,Sí,11,Sí,Sí,3.56,90.2,3.4,98.9,100.0,2.6,8.9,6.8,2.0,4,4.5,Sí
157,27,Masculino,4,3,Sí,28,Sí,Sí,3.98,71.5,12.0,67.4,68.3,4.6,8.1,8.0,2.6,1,5.3,Sí
158,30,Masculino,5,3,No,0,Sí,Sí,4.17,62.7,19.3,63.8,70.1,8.3,5.5,9.3,3.2,4,4.2,Sí
159,24,Masculino,8,5,No,0,No,Sí,3.99,71.9,24.7,79.2,81.3,17.0,6.5,7.6,1.4,4,6.3,Sí
160,35,Femenino,3,3,Sí,20,Sí,Sí,3.28,59.3,9.3,51.5,53.8,7.9,7.2,7.0,3.4,3,4.3,No
161,32,Masculino,5,2,No,0,No,Sí,3.57,62.5,9.9,53.8,67.5,5.6,4.9,8.3,2.1,4,6.1,No
162,32,Masculino,3,4,Sí,24,No,Sí,3.31,44.3,2.0,64.5,68.8,1.2,5.7,8.4,5.1,6,7.0,No
163,35,Masculino,10,2,Sí,19,Sí,Sí,3.79,76.2,6.2,69.3,72.6,2.7,7.6,7.4,1.9,2,6.7,Sí
164,27,Femenino,3,3,No,0,No,Sí,3.84,77.1,8.5,90.0,81.2,4.5,6.8,7.3,2.1,5,4.6,Sí
165,22,Masculino,3,4,No,0,No,Sí,3.72,98.0,8.8,97.6,89.2,4.1,8.5,7.6,1.9,10,0.5,Sí
166,17,Masculino,7,5,No,0,No,Sí,3.2,87.8,6.3,84.4,95.8,3.2,8.6,5.1,2.4,4,6.0,Sí
167,18,Masculino,7,4,Sí,10,No,Sí,3.53,81.9,11.4,79.3,85.0,3.6,9.0,5.5,1.5,2,2.1,Sí
168,32,Femenino,7,4,No,0,No,Sí,3.45,66.4,11.7,65.9,75.1,3.8,6.6,7.1,3.9,6,5.9,No
169,20,Masculino,10,4,Sí,40,No,Sí,4.07,95.9,8.4,100.0,100.0,6.0,10.0,5.9,2.3,5,5.8,Sí
170,32,Masculino,8,5,Sí,19,No,Sí,3.26,83.7,10.0,89.8,93.8,7.1,9.4,6.8,4.5,4,4.6,Sí
171,32,Femenino,5,2,No,0,No,Sí,4.57,97.9,11.3,96.2,94.7,5.6,10.0,7.0,3.1,2,5.1,Sí
172,32,Femenino,5,1,Sí,38,No,Sí,3.39,68.7,15.2,53.7,53.5,12.6,7.9,5.6,7.1,6,7.9,No
173,17,Masculino,4,2,No,0,No,Sí,3.76,74.3,8.1,74.5,70.3,3.7,6.8,7.5,2.6,5,7.6,Sí
174,17,Femenino,7,2,No,0,No,Sí,3.69,83.5,10.7,84.6,97.9,5.7,9.3,4.5,2.5,2,4.3,Sí
175,20,Masculino,10,4,Sí,48,No,Sí,3.08,84.8,3.2,94.9,87.8,2.3,10.0,6.4,4.0,8,1.2,No
176,16,Masculino,4,3,Sí,15,No,Sí,3.4,79.3,11.1,67.5,70.6,8.3,9.1,5.0,1.1,5,8.1,Sí
177,16,Masculino,2,3,Sí,21,Sí,Sí,4.24,64.1,31.7,60.1,58.6,25.9,5.9,6.4,2.4,6,1.8,Sí
178,34,Femenino,4,1,Sí,23,No,No,4.22,79.7,22.3,75.5,85.0,7.1,7.3,7.9,2.9,1,5.2,Sí
179,17,Masculino,8,4,No,0,No,Sí,3.35,78.8,10.1,78.3,80.6,4.1,8.0,5.9,4.3,6,4.9,Sí
180,27,Masculino,9,3,No,0,No,Sí,3.25,81.1,14.0,81.9,86.5,9.6,9.0,4.4,4.8,2,5.9,Sí
181,21,Masculino,3,4,Sí,24,No,Sí,3.62,86.1,6.2,89.6,91.7,3.1,8.8,6.5,5.3,4,7.6,Sí
182,19,Femenino,7,3,Sí,40,No,Sí,3.34,78.8,8.3,63.6,53.7,2.7,6.6,5.8,2.6,4,5.1,No
183,26,Masculino,9,3,No,0,No,Sí,3.74,97.4,6.3,98.8,100.0,4.1,10.0,6.8,2.1,4,4.0,Sí
184,32,Masculino,4,2,No,0,Sí,Sí,3.22,63.0,12.6,65.0,64.0,6.8,7.4,6.5,3.1,2,5.6,Sí
185,21,Masculino,10,2,Sí,19,No,Sí,3.27,63.1,17.0,63.7,56.1,8.8,5.3,7.0,2.6,8,2.3,No
186,20,Masculino,3,4,Sí,48,No,Sí,3.58,76.8,12.3,75.3,61.2,5.6,8.8,8.2,1.3,4,3.6,Sí
187,35,Masculino,5,5,No,0,No,Sí,3.59,70.4,12.4,43.0,34.9,3.8,7.2,6.3,3.3,2,4.6,No
188,17,Femenino,1,4,Sí,39,No,Sí,3.2,67.9,6.0,72.4,80.0,2.5,7.4,6.9,1.9,3,6.1,Sí
189,21,Masculino,3,2,Sí,46,No,Sí,3.31,84.2,3.2,76.4,94.1,1.9,9.0,6.4,2.7,6,7.8,Sí
190,26,Masculino,8,3,No,0,Sí,Sí,4.54,92.0,14.0,96.9,98.1,6.5,9.5,8.0,2.6,2,7.2,Sí
191,31,Femenino,8,4,No,0,Sí,Sí,4.13,96.9,21.7,100.0,90.0,17.9,9.2,7.0,8.8,3,6.8,Sí
192,31,Masculino,4,4,No,0,No,Sí,3.33,64.9,8.9,51.5,55.6,3.4,7.1,7.4,4.7,2,7.2,No
193,16,Masculino,2,2,No,0,Sí,Sí,3.21,68.3,2.8,72.9,83.7,2.3,6.9,7.7,4.1,4,6.2,No
194,24,Femenino,8,1,No,0,No,Sí,3.23,83.2,8.3,73.3,92.5,4.5,8.7,4.5,4.9,4,5.2,Sí
195,21,Masculino,8,4,Sí,13,No,Sí,3.85,88.1,9.4,87.7,100.0,4.4,8.5,7.7,2.5,2,3.0,Sí
196,31,Masculino,10,3,Sí,18,No,Sí,4.06,77.6,19.0,76.6,78.9,9.2,8.2,7.3,1.6,8,5.1,Sí
