Valor_Transaccion,Hora_Del_Dia,Numero_Transacciones_Diarias,Distancia_Geografica,Fraude
3044358.37,11,4,376.21,NO
3186855.16,14,13,45.24,NO
2778529.89,10,18,144.34,SI
464100.43,13,1,54.55,NO
3634721.19,9,16,325.26,SI
2741757.07,16,13,382.6,NO
2260043.13,12,10,462.84,SI
4553251.68,13,12,219.09,SI
1496817.66,11,2,450.69,SI
2622775.36,14,3,438.95,SI
3491232.94,16,10,158.6,NO
3984394.16,14,2,434.45,SI
2302140.57,8,13,187.84,NO
4212036.16,8,13,148.43,SI
3846899.53,16,18,324.54,SI
340517.53,16,3,164.19,NO
238847.72,11,7,315.1,NO
3107820.37,16,14,304.92,NO
1743592.91,10,20,281.72,SI
1053562.65,14,17,190.21,SI
2902453.17,13,12,274.25,NO
1714400.42,15,16,298.24,SI
2690944.45,16,12,272.84,NO
2305994.6,12,15,222.21,NO
2927982.87,8,10,7.33,NO
2007499.44,10,7,293.53,NO
3491361.19,15,20,84.22,SI
908535.69,13,5,321.29,NO
3485542.32,15,1,379.67,NO
2064189.46,16,17,250.22,SI
4372844.85,11,3,271.18,SI
2581027.91,8,13,475.74,SI
4865820.64,8,14,423.58,SI
3013657.62,11,18,457.12,SI
1127006.84,14,4,406.88,SI
4110735.28,9,18,54.46,SI
1731962.31,10,5,74.5,NO
1744619.88,8,16,263.31,SI
168705.36,12,1,123.03,NO
2748089.39,8,14,238.35,NO
2676773.28,15,15,197.18,NO
1786397.51,8,9,274.71,NO
4472144.14,8,15,373.44,SI
652454.51,9,17,357.75,SI
1657196.57,9,4,260.62,NO
1614698.0,13,12,411.2,SI
470530.03,14,5,215.43,NO
2410915.52,12,5,448.36,SI
3442045.74,8,11,35.64,NO
2563168.5,8,6,477.33,SI
793318.64,10,7,327.35,NO
1892656.97,9,14,190.04,NO
22949.17,12,11,98.58,NO
4342822.52,13,13,239.59,SI
431739.87,14,2,97.28,NO
2990417.63,11,7,83.17,NO
4931422.41,14,20,308.68,SI
2687587.32,15,4,261.54,NO
4620968.38,8,8,335.05,SI
1188221.5,13,20,464.8,SI
3802177.49,15,19,266.13,SI
2661016.11,12,13,290.47,NO
3605375.15,11,14,44.81,NO
321083.4,9,10,358.82,NO
747218.07,13,11,199.95,NO
674253.47,13,2,488.36,SI
3438955.87,8,9,411.59,SI
4223758.96,16,17,261.24,SI
3750585.0,13,3,61.61,NO
162056.04,10,6,429.71,SI
4337402.76,11,5,399.89,SI
1777191.89,11,5,92.29,NO
1991847.52,10,15,147.64,NO
533297.14,10,17,396.7,SI
3689651.98,10,9,92.61,NO
919596.55,11,3,458.88,SI
2824185.81,14,20,212.26,SI
4205142.83,11,17,43.52,SI
455129.6,16,10,407.87,SI
2681324.46,8,3,186.75,NO
1173749.89,15,18,263.25,SI
1721205.05,14,18,56.15,SI
2375110.01,9,17,1.29,SI
1781970.47,15,3,318.99,NO
3247625.97,8,3,257.59,NO
2403114.69,16,6,296.77,NO
2925155.43,16,13,396.87,NO
3686744.15,9,15,323.3,NO
2793133.91,14,9,87.39,NO
2936811.82,10,4,180.39,NO
2826648.13,14,14,452.95,SI
1900075.4,16,5,384.97,NO
1693859.7,11,2,278.32,NO
4499240.51,8,11,127.82,SI
3041700.56,9,9,151.03,NO
1229322.25,8,3,365.98,NO
2496256.01,12,9,425.59,SI
1658438.92,12,3,335.71,NO
4669122.2,14,2,404.76,SI
47596.47,16,12,383.33,NO
1134410.66,16,10,74.85,NO
1833130.53,10,9,211.97,NO
2444170.91,10,15,76.49,NO
4255579.41,10,8,117.62,SI
448559.25,11,5,434.63,SI
4031265.78,15,11,236.45,SI
287710.91,13,2,267.68,NO
4213147.04,15,15,89.22,SI
267661.03,8,6,156.14,NO
101029.98,15,8,115.12,NO
3487837.7,11,5,103.09,NO
4986305.12,8,16,318.98,SI
4484085.21,15,18,128.44,SI
2884232.1,11,6,316.01,NO
4587804.11,13,5,29.23,SI
36447.03,15,16,70.89,SI
4875585.14,11,13,137.27,SI
2458836.41,10,5,298.52,NO
3617251.52,16,13,337.92,NO
4106098.75,10,17,221.36,SI
3595101.78,16,18,222.9,SI
2679833.29,9,8,362.26,NO
2388331.23,9,13,7.91,NO
4194526.97,9,19,170.55,SI
1033337.03,13,3,409.35,SI
4840290.39,10,8,301.61,SI
3557652.87,16,2,168.61,NO
1005539.57,11,8,452.76,SI
3683873.45,8,13,386.31,NO
2653901.72,11,13,132.45,NO
3539078.18,8,1,322.64,NO
3841219.71,12,6,297.88,NO
445578.0,11,19,200.59,SI
2535458.74,15,16,183.48,SI
4660751.57,15,8,171.78,SI
1610004.54,14,1,308.58,NO
2973476.66,10,16,221.2,SI
1852460.1,8,9,415.93,SI
2276797.18,8,13,334.8,NO
2747529.56,10,11,34.97,NO
2749120.68,13,13,320.08,NO
1016635.01,14,10,135.57,NO
3426012.02,13,4,296.41,NO
448461.88,13,6,340.07,NO
702735.62,13,7,115.41,NO
23527.39,10,5,228.43,NO
592313.36,13,11,95.16,NO
2371099.34,15,13,26.17,NO
3034448.39,9,19,189.24,SI
3973504.36,12,10,181.47,NO
542429.26,8,10,497.74,SI
4255130.03,8,11,223.18,SI
3732412.88,12,7,166.78,NO
2048506.28,10,18,290.24,SI
4665360.95,11,4,44.38,SI
4954738.09,10,2,480.83,SI
1032959.03,8,14,317.48,NO
1902350.64,8,13,377.42,NO
4632982.62,12,12,85.24,SI
3610766.79,13,7,204.74,NO
249992.27,10,2,211.34,NO
3909757.26,16,13,410.9,SI
4141425.03,12,14,0.62,SI
3755004.6,15,17,150.43,SI
3999690.28,8,9,490.62,SI
4127412.06,12,17,237.44,SI
940160.88,10,8,191.26,NO
1186101.81,8,2,59.91,NO
3172455.23,11,13,487.08,SI
4540251.99,12,3,10.01,SI
1587820.95,14,16,368.59,SI
2945650.31,8,6,384.3,NO
3418080.5,10,19,121.83,SI
2265223.52,9,7,335.78,NO
3571774.45,16,10,46.46,NO
4499340.55,13,9,128.52,SI
3124266.71,10,2,393.95,NO
2703507.5,15,15,432.34,SI
2199335.93,15,5,304.24,NO
2891656.49,9,4,253.42,NO
1783258.63,13,20,79.65,SI
1963495.73,14,4,31.55,NO
2663968.82,9,18,58.82,SI
342429.37,9,4,113.68,NO
1152836.7,8,17,170.84,SI
2718818.06,15,12,190.45,NO
2163325.43,8,17,173.16,SI
1670750.77,16,10,119.53,NO
3655440.19,13,1,254.86,NO
3471650.86,14,18,412.64,SI
841986.49,14,18,139.85,SI
4394359.29,10,14,471.19,SI
2482163.9,9,15,436.67,SI
3709889.95,16,12,80.88,NO
2870022.74,15,4,393.14,NO
4988486.15,14,3,287.29,SI
3764491.57,16,20,283.29,SI
3537832.5,11,12,195.52,NO
3895073.98,11,7,250.58,NO
724208.65,8,11,198.59,NO
1030677.52,15,1,269.87,NO
3573179.77,10,6,313.98,NO
2474967.62,14,15,337.15,NO
3775630.11,9,15,266.24,NO
523550.99,9,19,360.71,SI
2687041.94,14,11,70.64,NO
1900319.61,13,2,105.99,NO
2290431.09,10,14,409.37,SI
3023749.78,16,2,161.26,NO
2516418.85,13,4,11.45,NO
2703904.58,13,17,76.9,SI
2436923.84,8,3,111.81,NO
2050686.33,11,13,478.66,SI
3861691.08,13,9,286.52,NO
70893.33,13,7,466.37,SI
2996229.08,12,15,287.58,NO
2831886.65,8,11,239.68,NO
3583733.58,15,20,156.86,SI
2999156.53,12,2,303.19,NO
4135726.15,12,15,69.6,SI
4795783.22,14,14,449.13,SI
1719196.04,11,20,414.67,SI
1144481.41,13,11,158.77,NO
2123748.34,11,3,476.4,SI
1446768.79,10,17,412.6,SI
3078601.81,14,12,333.15,NO
4560143.52,15,15,60.88,SI
704189.81,11,16,239.12,SI
512965.07,9,5,253.05,NO
1287517.5,10,20,116.28,SI
3633216.97,8,6,39.98,NO
2968884.9,15,19,388.36,SI
520041.19,10,5,61.02,NO
4594565.11,14,3,297.15,SI
3952522.34,12,1,468.22,SI
124882.8,12,6,438.05,SI
3260322.38,14,15,138.88,NO
3858520.88,16,2,425.72,SI
1878432.49,12,3,0.17,NO
353918.48,8,17,8.84,SI
395832.12,8,12,301.28,NO
530192.36,9,18,182.4,SI
4203793.76,13,15,193.23,SI
4554324.13,16,12,282.22,SI
622825.8,15,16,95.89,SI
1187171.11,12,8,105.88,NO
835947.35,8,14,242.3,NO
939741.19,14,17,377.13,SI
4189079.04,12,8,309.75,SI
1667410.6,13,15,148.68,NO
1564106.88,14,14,215.17,NO
1144704.15,10,18,85.33,SI
3043393.03,10,20,37.31,SI
1902735.43,12,7,391.35,NO
3723805.76,13,3,132.69,NO
1035843.24,16,12,88.88,NO
3941071.54,12,3,345.81,NO
3022570.44,8,20,309.03,SI
580193.83,11,14,316.59,NO
2078377.88,12,15,114.45,NO
4318955.52,12,14,116.32,SI
4615571.56,14,7,110.4,SI
2333843.61,11,17,86.88,SI
2409376.52,8,12,327.86,NO
4593089.08,12,20,424.01,SI
2939470.44,14,4,362.16,NO
173904.88,13,9,396.05,NO
4564619.82,12,6,202.4,SI
1248649.95,11,16,327.04,SI
2892383.45,9,2,177.12,NO
835911.45,11,8,262.75,NO
179057.01,10,11,240.82,NO
1564251.12,8,13,88.44,NO
3904673.58,15,17,193.54,SI
1395159.99,12,8,481.91,SI
1108285.1,11,18,124.29,SI
1071277.11,15,18,66.9,SI
2580716.68,14,14,209.29,NO
4877951.17,9,15,395.17,SI
2300355.05,8,6,291.07,NO
2790953.79,11,11,340.49,NO
4304553.77,15,13,94.85,SI
2679997.9,9,1,309.47,NO
930469.73,10,6,161.75,NO
1504983.6,8,9,417.15,SI
1556585.26,8,8,314.65,NO
1992617.4,10,11,99.43,NO
2139676.64,12,19,32.31,SI
4000912.29,10,9,21.32,SI
1753441.13,8,17,185.7,SI
2346476.82,8,12,132.93,NO
3128630.18,15,14,323.05,NO
1894852.48,9,15,249.67,NO
4184458.42,10,16,133.01,SI
2941393.49,9,20,74.62,SI
1477282.95,10,1,63.6,NO
3573155.41,14,10,432.33,SI
2642962.17,8,8,121.74,NO
2676934.9,15,18,325.86,SI
2410628.86,9,1,405.34,SI
2490089.62,10,2,307.04,NO
3829127.84,16,1,429.78,SI
523877.58,14,1,196.2,NO
1678470.43,11,9,478.11,SI
386761.79,12,13,66.57,NO
3768698.64,9,1,51.07,NO
1368786.26,15,13,329.35,NO
4488177.74,11,20,471.42,SI
2637626.55,16,7,404.44,SI
4005741.36,12,2,38.21,SI
4894867.86,16,6,139.68,SI
4200546.41,11,7,465.16,SI
4336298.86,12,14,126.53,SI
2045842.63,16,18,390.59,SI
2763095.75,15,15,412.57,SI
1276903.93,10,2,247.73,NO
988604.37,8,10,193.17,NO
2532484.32,10,12,225.06,NO
2979294.41,11,17,113.48,SI
1702963.52,9,8,444.7,SI
2851523.15,8,11,225.31,NO
4438427.81,14,3,441.23,SI
2788040.71,15,6,52.85,NO
3606857.35,14,9,494.14,SI
4028521.69,12,6,221.64,SI
4943756.62,8,9,23.92,SI
3019955.04,14,7,19.01,NO
4036182.24,14,9,373.1,SI
4813620.1,16,18,329.52,SI
4722604.53,10,12,401.07,SI
713998.43,16,8,52.68,NO
2037897.62,8,8,17.79,NO
1626710.4,8,18,254.29,SI
443755.82,11,20,193.8,SI
3169871.47,16,15,230.97,NO
3682164.02,13,7,495.79,SI
4242159.2,10,11,485.37,SI
622656.68,8,20,471.16,SI
4383455.94,11,16,391.92,SI
3218198.56,16,4,177.42,NO
3522691.21,10,6,206.07,NO
4554013.78,16,3,274.81,SI
3127558.74,14,9,415.27,SI
1685970.63,11,10,34.36,NO
4127285.58,10,14,212.15,SI
1821665.47,12,11,41.31,NO
180798.27,12,18,257.33,SI
4154965.99,10,12,449.45,SI
1732508.8,16,12,391.24,NO
3871434.27,11,13,113.92,NO
1820161.89,12,13,488.0,SI
4306729.42,11,19,333.68,SI
1105357.52,12,19,5.21,SI
4872990.85,14,14,127.71,SI
3900996.29,16,4,130.36,NO
580047.25,14,13,34.63,NO
2833225.33,12,8,479.91,SI
4926982.89,14,19,239.13,SI
2360616.61,12,12,447.91,SI
918714.62,10,18,161.11,SI
2429044.05,14,6,62.62,NO
2567163.7,9,18,237.17,SI
3711017.85,16,19,56.98,SI
3497240.81,8,5,243.01,NO
2018724.72,13,9,460.15,SI
1097935.31,14,3,260.38,NO
3228820.3,15,10,308.25,NO
2114302.63,16,19,78.32,SI
670058.29,9,3,21.87,NO
4503855.78,9,15,55.4,SI
3459197.07,12,1,299.27,NO
3419087.44,12,7,47.51,NO
4114693.54,13,12,188.0,SI
2653011.78,10,17,275.05,SI
4077121.6,15,20,194.33,SI
2495472.86,8,5,81.84,NO
345205.25,13,4,136.9,NO
2032187.96,11,12,464.16,SI
2492349.82,8,20,337.99,SI
3603810.88,14,18,248.02,SI
541827.86,16,17,6.36,SI
708692.51,11,19,496.21,SI
1325782.18,11,9,335.73,NO
1339826.98,13,4,158.46,NO
